audio_path,sentence,lang,source,augmentation
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000132_noise.wav,왔구나!,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036231.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000133_orig.wav,동감입니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036287.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000133_speed095.wav,동감입니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036287.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000133_speed105.wav,동감입니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036287.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000133_noise.wav,동감입니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036287.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000134_orig.wav,하며 목청이 찢어져라고 선생의 입내를 낸다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036338.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000134_speed095.wav,하며 목청이 찢어져라고 선생의 입내를 낸다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036338.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000134_speed105.wav,하며 목청이 찢어져라고 선생의 입내를 낸다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036338.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000134_noise.wav,하며 목청이 찢어져라고 선생의 입내를 낸다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036338.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000135_orig.wav,날 사랑해요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036344.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000135_speed095.wav,날 사랑해요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036344.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000135_speed105.wav,날 사랑해요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036344.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000135_noise.wav,날 사랑해요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41036344.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000136_orig.wav,벽에 맞아 떨어진 돈은 다시 술 끓이는 양푼에 떨어졌다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444307.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000136_speed095.wav,벽에 맞아 떨어진 돈은 다시 술 끓이는 양푼에 떨어졌다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444307.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000136_speed105.wav,벽에 맞아 떨어진 돈은 다시 술 끓이는 양푼에 떨어졌다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444307.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000136_noise.wav,벽에 맞아 떨어진 돈은 다시 술 끓이는 양푼에 떨어졌다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444307.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000137_orig.wav,가마 부엌에서 여물 끓인 내가 구수하게 났다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444308.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000137_speed095.wav,가마 부엌에서 여물 끓인 내가 구수하게 났다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444308.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000137_speed105.wav,가마 부엌에서 여물 끓인 내가 구수하게 났다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444308.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000137_noise.wav,가마 부엌에서 여물 끓인 내가 구수하게 났다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444308.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000138_orig.wav,비상 선언을 선포합니다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444309.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000138_speed095.wav,비상 선언을 선포합니다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444309.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000138_speed105.wav,비상 선언을 선포합니다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444309.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000138_noise.wav,비상 선언을 선포합니다,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444309.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000139_orig.wav,황천이 가까우니 진실을 말하마,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444310.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000139_speed095.wav,황천이 가까우니 진실을 말하마,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444310.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000139_speed105.wav,황천이 가까우니 진실을 말하마,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444310.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000139_noise.wav,황천이 가까우니 진실을 말하마,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444310.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000140_orig.wav,창경원 앞까지 다다라서야 그는 턱에 닿은 숨을 돌리고 걸음도 늦추잡았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444315.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000140_speed095.wav,창경원 앞까지 다다라서야 그는 턱에 닿은 숨을 돌리고 걸음도 늦추잡았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444315.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000140_speed105.wav,창경원 앞까지 다다라서야 그는 턱에 닿은 숨을 돌리고 걸음도 늦추잡았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444315.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000140_noise.wav,창경원 앞까지 다다라서야 그는 턱에 닿은 숨을 돌리고 걸음도 늦추잡았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37444315.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000141_orig.wav,크롬 대신 파이어폭스를 사용하여 프라이버시를 지키자.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018705.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000141_speed095.wav,크롬 대신 파이어폭스를 사용하여 프라이버시를 지키자.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018705.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000141_speed105.wav,크롬 대신 파이어폭스를 사용하여 프라이버시를 지키자.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018705.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000141_noise.wav,크롬 대신 파이어폭스를 사용하여 프라이버시를 지키자.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018705.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000142_orig.wav,저리 안 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018708.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000142_speed095.wav,저리 안 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018708.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000142_speed105.wav,저리 안 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018708.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000142_noise.wav,저리 안 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018708.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000143_orig.wav,자신감 있는 표정을 지으면 자신감이 생긴다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018718.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000143_speed095.wav,자신감 있는 표정을 지으면 자신감이 생긴다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018718.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000143_speed105.wav,자신감 있는 표정을 지으면 자신감이 생긴다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018718.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000143_noise.wav,자신감 있는 표정을 지으면 자신감이 생긴다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018718.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000144_orig.wav,하는 말이 입 밖까지 나오려는 것을 도로 끌어들였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018719.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000144_speed095.wav,하는 말이 입 밖까지 나오려는 것을 도로 끌어들였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018719.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000144_speed105.wav,하는 말이 입 밖까지 나오려는 것을 도로 끌어들였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018719.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000144_noise.wav,하는 말이 입 밖까지 나오려는 것을 도로 끌어들였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018719.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000145_orig.wav,게으른 자는 선히 대답하는 사람 일곱보다 자기를 지혜롭게 여기느니라,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018721.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000145_speed095.wav,게으른 자는 선히 대답하는 사람 일곱보다 자기를 지혜롭게 여기느니라,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018721.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000145_speed105.wav,게으른 자는 선히 대답하는 사람 일곱보다 자기를 지혜롭게 여기느니라,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018721.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000145_noise.wav,게으른 자는 선히 대답하는 사람 일곱보다 자기를 지혜롭게 여기느니라,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018721.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000146_orig.wav,나는 자네들을 친자식같이 아는데 자네들은 그것을 몰라준단 말이어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057460.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000146_speed095.wav,나는 자네들을 친자식같이 아는데 자네들은 그것을 몰라준단 말이어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057460.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000146_speed105.wav,나는 자네들을 친자식같이 아는데 자네들은 그것을 몰라준단 말이어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057460.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000146_noise.wav,나는 자네들을 친자식같이 아는데 자네들은 그것을 몰라준단 말이어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057460.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000147_orig.wav,멀리서는 때때로 놀란 듯한 기적 소리도 들리는,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057461.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000147_speed095.wav,멀리서는 때때로 놀란 듯한 기적 소리도 들리는,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057461.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000147_speed105.wav,멀리서는 때때로 놀란 듯한 기적 소리도 들리는,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057461.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000147_noise.wav,멀리서는 때때로 놀란 듯한 기적 소리도 들리는,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057461.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000148_orig.wav,흉중에 첩첩이 쌓인 말씀은 반가이 얼굴을 대해서 실컷 하십시다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057463.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000148_speed095.wav,흉중에 첩첩이 쌓인 말씀은 반가이 얼굴을 대해서 실컷 하십시다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057463.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000148_speed105.wav,흉중에 첩첩이 쌓인 말씀은 반가이 얼굴을 대해서 실컷 하십시다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057463.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000148_noise.wav,흉중에 첩첩이 쌓인 말씀은 반가이 얼굴을 대해서 실컷 하십시다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057463.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000149_orig.wav,동혁과 원재는 주사 기운에 말도 못 하는 영신의 어깨를 부축해서 병실로 데려다가 눕혔다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057465.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000149_speed095.wav,동혁과 원재는 주사 기운에 말도 못 하는 영신의 어깨를 부축해서 병실로 데려다가 눕혔다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057465.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000149_speed105.wav,동혁과 원재는 주사 기운에 말도 못 하는 영신의 어깨를 부축해서 병실로 데려다가 눕혔다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057465.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000149_noise.wav,동혁과 원재는 주사 기운에 말도 못 하는 영신의 어깨를 부축해서 병실로 데려다가 눕혔다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057465.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000150_orig.wav,물 흐르는 옷에서 어슬어슬 한기가 솟아나기 비롯하며,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057469.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000150_speed095.wav,물 흐르는 옷에서 어슬어슬 한기가 솟아나기 비롯하며,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057469.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000150_speed105.wav,물 흐르는 옷에서 어슬어슬 한기가 솟아나기 비롯하며,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057469.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000150_noise.wav,물 흐르는 옷에서 어슬어슬 한기가 솟아나기 비롯하며,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40057469.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000151_orig.wav,그때 어린애가 대답했습니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105328.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000151_speed095.wav,그때 어린애가 대답했습니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105328.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000151_speed105.wav,그때 어린애가 대답했습니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105328.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000151_noise.wav,그때 어린애가 대답했습니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105328.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000152_orig.wav,그리고 자기가 부끄러운 듯이 제 얼굴이 뜨거워오는 것을 깨달았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105329.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000152_speed095.wav,그리고 자기가 부끄러운 듯이 제 얼굴이 뜨거워오는 것을 깨달았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105329.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000152_speed105.wav,그리고 자기가 부끄러운 듯이 제 얼굴이 뜨거워오는 것을 깨달았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105329.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000152_noise.wav,그리고 자기가 부끄러운 듯이 제 얼굴이 뜨거워오는 것을 깨달았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105329.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000153_orig.wav,한편으로 글을 배우러 오는 아이들은 거진 날마다 늘었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105350.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000153_speed095.wav,한편으로 글을 배우러 오는 아이들은 거진 날마다 늘었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105350.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000153_speed105.wav,한편으로 글을 배우러 오는 아이들은 거진 날마다 늘었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105350.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000153_noise.wav,한편으로 글을 배우러 오는 아이들은 거진 날마다 늘었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105350.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000154_orig.wav,저기?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105399.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000154_speed095.wav,저기?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105399.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000154_speed105.wav,저기?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105399.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000154_noise.wav,저기?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105399.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000155_orig.wav,이리 걸어오는 동안에 마포 다니는 전차 소리가 들리었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105402.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000155_speed095.wav,이리 걸어오는 동안에 마포 다니는 전차 소리가 들리었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105402.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000155_speed105.wav,이리 걸어오는 동안에 마포 다니는 전차 소리가 들리었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105402.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000155_noise.wav,이리 걸어오는 동안에 마포 다니는 전차 소리가 들리었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41105402.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000156_orig.wav,집에 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664442.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000156_speed095.wav,집에 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664442.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000156_speed105.wav,집에 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664442.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000156_noise.wav,집에 가?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664442.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000157_orig.wav,설성월과 춘우는 그것을 알지 못하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664456.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000157_speed095.wav,설성월과 춘우는 그것을 알지 못하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664456.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000157_speed105.wav,설성월과 춘우는 그것을 알지 못하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664456.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000157_noise.wav,설성월과 춘우는 그것을 알지 못하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664456.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000158_orig.wav,한계점까지 몰아붙여질 거예요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664484.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000158_speed095.wav,한계점까지 몰아붙여질 거예요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664484.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000158_speed105.wav,한계점까지 몰아붙여질 거예요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664484.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000158_noise.wav,한계점까지 몰아붙여질 거예요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664484.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000159_orig.wav,힘들어 뒈지겠어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664487.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000159_speed095.wav,힘들어 뒈지겠어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664487.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000159_speed105.wav,힘들어 뒈지겠어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664487.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000159_noise.wav,힘들어 뒈지겠어.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664487.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000160_orig.wav,내 빅데이터를 믿어보라니깐?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664516.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000160_speed095.wav,내 빅데이터를 믿어보라니깐?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664516.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000160_speed105.wav,내 빅데이터를 믿어보라니깐?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664516.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000160_noise.wav,내 빅데이터를 믿어보라니깐?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41664516.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000161_orig.wav,타세요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761724.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000161_speed095.wav,타세요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761724.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000161_speed105.wav,타세요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761724.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000161_noise.wav,타세요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761724.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000162_orig.wav,난 신경 안 써.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761795.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000162_speed095.wav,난 신경 안 써.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761795.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000162_speed105.wav,난 신경 안 써.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761795.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000162_noise.wav,난 신경 안 써.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761795.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000163_orig.wav,얼마나 더 걸릴 것 같아요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761812.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000163_speed095.wav,얼마나 더 걸릴 것 같아요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761812.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000163_speed105.wav,얼마나 더 걸릴 것 같아요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761812.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000163_noise.wav,얼마나 더 걸릴 것 같아요?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41761812.mp3,noise
